Tier,Rank,Company,Country,HQ_City,Year_Founded,CEO_MD_Name,LinkedIn_URL,Company_Website,Specialty_Fit,Key_Clients,Halal,Approach_Channel,Notes
S,1,Country Hill International,UAE,Dubai,1999,Dariush Rakhshani,https://linkedin.com/company/country-hill-international-llc,countryhill.ae,Mizuho/Norinchukin/CJF owned 2018-,Atlantis Royal/Atlantis Palm/St Regis Downtown Dubai,Yes,Mizuho Tokyo warm intro,Japan-fund-backed lowest friction
S,2,Giraudi Meats / Beefbar,Monaco,Monte-Carlo,1968,Riccardo Giraudi,https://linkedin.com/in/riccardo-giraudi-269338a8,giraudi-meats.com,First Kobe importer EU 2014 / 30+ Beefbar restaurants,Beefbar (Michelin HK)/Monaco/Paris/Athens/Mykonos/Tulum,No,LinkedIn DM English,Pan-Europe + MENA luxury single relationship
S,3,WAGYUMAN,USA,New York NY,2017,Dai Moriya,https://linkedin.com/in/dai-moriya-13412826,wagyuman.com,Largest US Japanese wagyu importer / whole cattle import,Restaurants nationwide,No,LinkedIn DM Japanese,Kyoto native CEO
S,4,Mutual Trading Co,USA,El Monte CA + 11 cities,1926,Masatoshi (Masa) Ohata,https://linkedin.com/in/masa-ohata-450b15218,mutual.us,Takara Holdings 51% / MTC Wagyu program / 100yr,Most Japanese restaurants US + Japanese-cuisine hotels,No,LinkedIn or Japan email,Channel multiplier
S,5,Classic Fine Foods,Global,London + Singapore,2003,Jens Michel,https://hk.linkedin.com/company/classic-fine-foods,classicfinefoods.com,11 countries Metro Group / Four Seasons supplier global,Four Seasons/Mandarin/Peninsula/Ritz globally,Yes (in ME ops),English Cold Email,One contract = 11 markets
S,6,Empório 481 / Prime Cater,Brazil,São Paulo,2015,Marcelo Shimbo,https://linkedin.com/in/marceloshimbo,emporio481.com.br,Brazil only major Japan A5 importer / BMS10+ only,Naga/Nobu/Makoto/Aizomê/Rubaiyat/Eataly,No,LinkedIn EN/PT,Ex-JBS Swift Black exec
S,7,Indoguna Singapore,Singapore,Singapore,1993,Helene Raudaschl,https://sg.linkedin.com/in/helene-raudaschl-a8938117,indoguna.sg,Siam Makro / 8 countries / Halal arm in Dubai,Top SEA hotels/airlines/gourmet shops,Yes,LinkedIn English,Multi-country master
S,8,Foodland St Barth,St Barths,Gustavia,1993,Jordan Cappai,https://linkedin.com/company/foodland,foodlandsbh.com,30+ years Caribbean luxury dominance,Eden Rock/Cheval Blanc/Le Sereno/Rosewood Le Guanahani,No,French/English email,Yacht season Dec-Apr key
S,9,Middle East Fuji,UAE,Dubai,~2010s,Ryusaku Hayashi,Search 'Ryusaku Hayashi Middle East Fuji',kobebeef.ae,Kobe Beef Association first UAE importer / Japanese MD,UAE/Oman/Bahrain royal palaces + ambassadors,Yes,LinkedIn Japanese,Royal palace channel unique
S,10,Niman Ranch / Perdue Premium,USA,Westminster CO / Salisbury MD,1970s,Jeff Tripician,https://linkedin.com/company/nimanranch,nimanranch.com,2026.2 launched Domestic ROC Beef / 95% US organic beef is imported,7500 retail + chef network,No,English Cold Email,Time-sensitive ROC angle
1,11,D'Artagnan,USA,Union NJ,1985,Sean O'Scannlain,https://linkedin.com/company/d'artagnan,dartagnan.com,$130M+ / 7500 retailers / chef-focused,Boulud/Keller/Burke,No,LinkedIn English,Ariane Daguin still influential
1,12,Verde Farms,USA,Woburn MA,2005,Brad Johnson,https://linkedin.com/company/verdefarms,verdefarms.com,Largest USDA Organic Beef importer in US,Target/Albertsons/Fresh Market,No,English email,Best USDA Organic compliance partner
1,13,AAH Nippon,Malaysia,Kuala Lumpur,2002,En. Ajwad Abu Hassan,Search LinkedIn,aahnippon.com,Malaysia first/largest Halal Japan wagyu,Malaysian premium F&B,Yes,LinkedIn English,Halal sourcing bottleneck = Eda advantage
1,14,PT Global Pratama Wijaya,Indonesia,Jakarta,2009,Find via LinkedIn,Search 'Global Pratama Wijaya',globalpratamawijaya.com,Antibiotic/GMO/HGP-free positioning + Halal Hida,Indonesia premium F&B + Bali resorts,Yes,LinkedIn English,Values perfect match
1,15,Suma Gourmet,UAE,Dubai,2010,Tatiana Kamoeva (DXBBQ),https://linkedin.com/company/suma-gourmet,sumagourmet.com,Founded as Japan wagyu trader,GCC hundreds of hotels/airlines,Yes,LinkedIn English,Pure wagyu DNA
1,16,Akaneya Group,Spain,Barcelona,2020,Chiho Murata,Search 'Chiho Murata Akaneya',akaneyajapan.com,Matsusaka EU exclusive distributor (first foreign company in 60yr),Marie/Carlota/Pilar Akaneya restaurants,No,LinkedIn Japanese,Japanese-speaking president
1,17,SushiSushi,UK,Sheffield,2007,Stuart Turner,https://uk.linkedin.com/in/sushisushi,sushisushi.co.uk,Mandarin Oriental Group already supplied,Fat Duck/Gordon Ramsay/Savoy/Mandarin Oriental,No,LinkedIn English,Cross-reference Mandarin Tokyo
1,18,Nice to Meat,Netherlands,Almere-Poort,1990s,Mikel Pouw,https://linkedin.com/in/mikel-pouw-b4600a10,nicetomeat.nl,First EU Japan wagyu importer 2014 / 1200 clients,Dutch Michelin + royal supplier,No,LinkedIn Dutch/English,Pioneer-spirit shared narrative
1,19,Dierendonck,Belgium,Koksijde,1970,Hendrik Dierendonck,https://linkedin.com/in/hendrik-dierendonck-3b98664a,dierendonck.be,5 shops + Michelin 1* Carcasse + cross-border wholesale,Top Belgian chefs / Swiss/German/French distribution,No,LinkedIn English,Butcher celebrity author
1,20,Mayfull Foods,Taiwan,Taipei,1963,Family - Huang Group,Search 'Mayfull Foods executives',mayfull.com.tw,$3B group + Grand Mayfull Hotel + imports Miyazaki/Kobe,Own hotel + Taiwan luxury HoReCa,No,LinkedIn English,Single Taiwan gateway
2,21,Pat LaFrieda Meat Purveyors,USA,North Bergen NJ,1922,Pat LaFrieda Jr,https://linkedin.com/in/patlafrieda,lafrieda.com,4th gen / America most celebrated butcher,Shake Shack/Carbone/Minetta Tavern,No,LinkedIn English,Mishima Reserve supplier
2,22,DeBragga & Spitler,USA,Jersey City NJ,1920,Marc Sarrazin,https://linkedin.com/in/marc-sarrazin-50394ab,debragga.com,4th gen Sarrazin / explicit Miyazaki listing / CIA Trustee,Le Cirque/Daniel/Per Se/Eleven Madison Park,No,LinkedIn English,Already sells Miyazaki Wagyu
2,23,Capital Meat Imports,USA,Vernon CA,2020,Udi Greenberg,https://linkedin.com/in/udi-greenberg-1655013b,capitalmeatimports.com,1M lb wagyu/yr / @meet_the_butcher SNS,Michelin & top steakhouses,No,LinkedIn English,SNS influencer = viral story potential
2,24,Elite Fresh Food,Hong Kong,Hong Kong,1985,John Kwong,Search 'John Kwong Elite Fresh',elitegroup.com.hk,HK biggest Japan wagyu importer / JA Wagyu exclusive,Top HK hotels/restaurants,No,LinkedIn English,3-gen family decision-maker
2,25,Waves Pacific,Hong Kong,Hong Kong,2002,Jason Lo,https://linkedin.com/in/jason-lo-waves-pacific,wavespacific.com,Caprice/Four Seasons HK/Mandarin Oriental HK supplier,Caprice 3* + Mandarin HK + HK Jockey Club,No,LinkedIn English,Four Seasons cross-ref strong
2,26,HG Walter,UK,London,1972,Adam Heanen,Search 'Adam Heanen HG Walter',hgwalter.com,1000+ restaurants / Fat Duck/River Café/Dorchester,Fat Duck 3*/River Café/Hide/Dorchester,No,LinkedIn English,Quality-obsessed philosophy match
2,27,Hugo Desnoyer,France,Paris + Tokyo,1998,Hugo Desnoyer,Search 'Hugo Desnoyer LinkedIn',Search via parisbymouth,Tokyo branch + supplies Gagnaire/Passard/L'Ambroisie,Pierre Gagnaire 3*/Alain Passard 3*/L'Ambroisie 3*,No,Tokyo handover,Direct Tokyo sample exchange
2,28,Casinetto,UAE/KSA,Dubai + Riyadh,2010,Giacomo Bernardelli Micara,https://linkedin.com/company/casinettofood,casinetto.com,Marriott/Atlantis/Jumeirah/Bvlgari/Cipriani/Nusr-Et,Bvlgari/Cipriani/Nusr-Et/La Petite Maison,Yes,LinkedIn English,Client list perfect Eda match
2,29,Aramtec,UAE,Dubai + Abu Dhabi + Qatar,1979,Saif Al Zarouni,https://linkedin.com/company/aramtec,aramtec.com,1750+ hospitality clients / largest UAE F&B service co,GCC hotels/restaurants/airlines/caterers,Yes,LinkedIn English,Volume upgrade: replace Australian with Japanese
2,30,LUMA Beef,Switzerland,Neuhausen am Rheinfall,2011,Lucas Oechslin + Marco Tessaro,Search 'LUMA Beef founders LinkedIn',luma-delikatessen.ch,Patented dry-aging / Swiss Deluxe Hotels supplier,Marcus Lindner/Stefan Heilemann (Michelin multi-star),No,LinkedIn English,Innovation-brand narrative match
